Date,Ticker,Type,Price,Shares,Cash_after
2024-03-01 05:00:00,AIG,SELL,70.18726348876953,27.0,92351.9482357033
2024-03-04 05:00:00,AEE,BUY,66.8774326245424,27.0,90546.25755484065
2024-03-06 05:00:00,AVB,BUY,174.24420894043436,10.0,88803.8154654363
2024-03-07 05:00:00,ACN,SELL,374.5986076677584,5.0,90676.8085037751
2024-03-11 04:00:00,ATO,BUY,111.97613289781238,16.0,88885.19037741011
2024-03-11 04:00:00,ADI,BUY,189.8045363375436,9.0,87176.94955037221
2024-03-12 04:00:00,AFL,BUY,80.45242161441855,21.0,85487.44869646942
2024-03-12 04:00:00,AMT,BUY,194.0962833067411,8.0,83934.6784300155
2024-03-12 04:00:00,ALB,BUY,122.95415671756186,13.0,82336.27439268719
2024-03-13 04:00:00,ALB,SELL,118.89985934368414,13.0,83881.97256415509
2024-03-14 04:00:00,AMCR,BUY,8.894704813031069,188.0,82209.76805930525
2024-03-18 04:00:00,APA,BUY,29.847223443415636,55.0,80568.17076991739
2024-03-19 04:00:00,ADP,SELL,235.06304868236072,5.0,81743.4860133292
2024-03-19 04:00:00,APD,BUY,235.00606059858404,6.0,80333.4496497377
2024-03-20 04:00:00,ADM,BUY,57.710735663376646,27.0,78775.25978682653
2024-03-21 04:00:00,ADP,BUY,240.78047966043232,6.0,77330.57690886394
2024-03-27 04:00:00,AMT,SELL,184.6042320685168,8.0,78807.41076541207
2024-04-02 04:00:00,AES,BUY,16.41070198851691,96.0,77231.98337451446
2024-04-08 04:00:00,ADP,SELL,236.80735725665264,6.0,78652.82751805437
2024-04-09 04:00:00,ALB,BUY,129.0249579266882,12.0,77104.52802293412
2024-04-11 04:00:00,AWK,BUY,114.42847426766576,13.0,75616.95785745446
2024-04-12 04:00:00,AWK,SELL,113.13274208690646,13.0,77087.68350458425
2024-04-16 04:00:00,AES,SELL,14.719348986195444,96.0,78500.74100725901
2024-04-16 04:00:00,ALB,SELL,113.45498463919488,12.0,79862.20082292936
2024-04-16 04:00:00,AMCR,SELL,8.368724818950538,188.0,81435.52108889206
2024-04-17 04:00:00,AON,SELL,301.39274731779506,5.0,82942.48482548103
2024-04-19 04:00:00,AFL,SELL,78.9408525848865,21.0,84600.24272976365
2024-04-19 04:00:00,AVY,SELL,203.56841617879925,7.0,86025.22164301525
2024-04-22 04:00:00,A,SELL,132.00994621589612,13.0,87741.35094382189
2024-04-22 04:00:00,AEP,SELL,78.88263002600345,23.0,89555.65143441997
2024-04-22 04:00:00,APD,SELL,223.280654956784,6.0,90895.33536416067
2024-04-23 04:00:00,ADI,SELL,182.39179852709657,9.0,92536.86155090453
2024-04-26 04:00:00,AEP,BUY,81.57812054228594,22.0,90742.14289897424
2024-04-30 04:00:00,APA,SELL,30.284352473671248,55.0,92407.78228502616
2024-04-30 04:00:00,AFL,BUY,81.46982828643459,22.0,90615.4460627246
2024-05-01 04:00:00,AOS,SELL,80.49342421387632,22.0,92386.30139542988
2024-05-01 04:00:00,AWK,BUY,117.21194107249536,15.0,90628.12227934245
2024-05-01 04:00:00,ADI,BUY,192.20389543704655,9.0,88898.28722040904
2024-05-02 04:00:00,ACGL,SELL,91.02951737514545,20.0,90718.87756791194
2024-05-02 04:00:00,AIG,BUY,75.73057105074564,23.0,88977.0744337448
2024-05-06 04:00:00,AVY,BUY,215.89998026537268,8.0,87249.87459162182
2024-05-06 04:00:00,APD,BUY,238.20261409513856,7.0,85582.45629295585
2024-05-06 04:00:00,AXON,BUY,322.0,5.0,83972.45629295585
2024-05-06 04:00:00,AMZN,BUY,186.27999877929688,9.0,82295.93630394217
2024-05-06 04:00:00,AMCR,BUY,9.448863969740469,174.0,80651.83397320734
2024-05-06 04:00:00,AMGN,BUY,296.6345390494764,5.0,79168.66127795995
2024-05-08 04:00:00,ALB,BUY,124.35590456631247,12.0,77676.39042316421
2024-05-09 04:00:00,ALGN,SELL,274.4100036621094,4.0,78774.03043781265
2024-05-13 04:00:00,AMP,BUY,426.2291986491499,3.0,77495.34284186519
2024-05-15 04:00:00,AME,SELL,167.86315063563077,7.0,78670.3848963146
2024-05-15 04:00:00,A,BUY,151.2470084781943,10.0,77157.91481153265
2024-05-15 04:00:00,APO,BUY,108.62815977048474,14.0,75637.12057474587
