Ticker,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,RealizedPNL
ABT,2025-01-22 05:00:00,2025-03-03 05:00:00,112.5954184429063,136.31218620944185,12.0,284.60121319842665
ACN,2025-01-29 05:00:00,2025-03-03 05:00:00,376.11451627089696,345.96557274353665,1.0,-30.148943527360302
BA,2024-12-05 05:00:00,2025-03-05 05:00:00,158.5,159.9600067138672,21.0,30.660140991210938
ADI,2025-02-21 05:00:00,2025-03-07 05:00:00,241.8073288781688,221.6998084761776,9.0,-180.96768361792076
APD,2025-01-27 05:00:00,2025-03-12 04:00:00,319.54769045379754,292.95880598938186,1.0,-26.588884464415685
AAPL,2025-02-06 05:00:00,2025-03-13 04:00:00,230.24863411824003,215.2140602896052,38.0,-571.3138054881242
ADBE,2025-02-21 05:00:00,2025-03-13 04:00:00,453.2799987792969,405.2699890136719,9.0,-432.090087890625
ADP,2025-01-30 05:00:00,2025-03-18 04:00:00,298.8579452152125,292.8579866624612,1.0,-5.999958552751309
APTV,2025-01-02 05:00:00,2025-03-21 04:00:00,60.66999816894531,61.720001220703125,512.0,537.6015625
AMCR,2025-02-07 05:00:00,2025-03-24 04:00:00,9.786956462918097,9.387259119106876,120.0,-47.96368125734652
ARE,2025-03-10 04:00:00,2025-03-24 04:00:00,98.06670287116576,92.31825512368748,45.0,-258.68014863652263
AMT,2025-02-14 05:00:00,2025-04-04 04:00:00,185.97814117322756,227.43670403015744,13.0,538.9613171400886
BA,2025-03-31 04:00:00,2025-04-04 04:00:00,170.64999389648438,143.3000030517578,37.0,-1011.9496612548828
AES,2025-03-13 04:00:00,2025-04-07 04:00:00,11.360587368617653,10.05895243248021,680.0,-885.1117565734613
AIZ,2025-03-21 04:00:00,2025-04-07 04:00:00,208.50737599286464,181.53468612428284,98.0,-2643.323607121016
ACGL,2025-03-25 04:00:00,2025-04-08 04:00:00,93.86000061035156,85.7300033569336,137.0,-1113.8096237182617
ALLE,2025-04-01 04:00:00,2025-04-08 04:00:00,129.6115469157248,122.5775217963699,25.0,-175.8506279838727
AMGN,2025-03-03 05:00:00,2025-04-09 04:00:00,302.19621479812497,264.4093928194085,34.0,-1284.7519472763606
ALL,2025-03-06 05:00:00,2025-04-09 04:00:00,195.25225760086707,178.25572117622653,34.0,-577.8822384377784
ABBV,2025-02-07 05:00:00,2025-04-09 04:00:00,188.3942046236666,164.14756320769945,3.0,-72.73992424790148
AFL,2025-02-27 05:00:00,2025-04-15 04:00:00,105.26132470644237,107.82313126295142,105.0,268.98968843345074
AJG,2025-01-28 05:00:00,2025-04-16 04:00:00,294.21019986668,336.37098592788124,4.0,168.64314424480494
AEP,2025-01-23 05:00:00,2025-04-21 04:00:00,94.979961467332,105.1148646945174,7.0,70.94432259029773
AIG,2025-01-28 05:00:00,2025-04-22 04:00:00,75.02445808478699,79.6495517056413,32.0,148.0029958673381
AJG,2025-04-24 04:00:00,2025-04-29 04:00:00,327.9062002785284,320.0588743058352,31.0,-243.26710515348827
AIG,2025-04-23 04:00:00,2025-04-30 04:00:00,81.37031597657179,80.4505947059241,253.0,-232.68948147386425
ACGL,2025-04-24 04:00:00,2025-05-01 04:00:00,92.08999633789062,90.12999725341795,28.0,-54.87997436523477
AFL,2025-04-24 04:00:00,2025-05-05 04:00:00,107.30878907118378,104.06450363831324,49.0,-158.9699862106565
AIG,2025-05-06 04:00:00,2025-05-08 04:00:00,81.59777814915813,81.3109767523959,36.0,-10.324850283440242
AXON,2025-04-24 04:00:00,2025-05-12 04:00:00,576.1500244140625,700.0,1.0,123.8499755859375
AEP,2025-04-23 04:00:00,2025-05-15 04:00:00,104.92954723669703,97.78636217140618,393.0,-2807.2717306593045
AWK,2025-02-20 05:00:00,2025-05-15 04:00:00,127.66865338071656,133.67193859309378,136.0,816.4467888833021
ABBV,2025-05-06 04:00:00,2025-05-15 04:00:00,192.43859545919943,175.23233125664984,8.0,-137.65011362039672
AEE,2025-01-17 05:00:00,2025-05-15 04:00:00,91.53871266082136,94.3960317607739,115.0,328.5916964945414
AES,2025-05-16 04:00:00,2025-05-20 04:00:00,12.18762360254768,10.9893189877665,1423.0,-1705.187466833618
AIZ,2025-05-21 04:00:00,2025-05-23 04:00:00,197.88898941386933,189.79121986841508,83.0,-672.1148722727021
